Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
90,"817,6674","06-05-2018 13:23:29,183","757,5648",2,1,"1,49995613098145","3,64986515045166","0,315623760223389",0,"1,12554526329041",0,,,"0,000159263610839844",,"34,7478141784668","34,7483634948731"
91,"827,6704","06-05-2018 13:23:39,186","767,5678",2,1,"1,49993515014648","3,65109443664551","0,319796234369278",0,"1,14077687263489",0,,,"9,34600830078125E-05",,"34,7725791931152","34,8425521850586"
92,"837,6745","06-05-2018 13:23:49,190","777,5719",2,1,"1,49999046325684","3,65239810943604","0,323960959911346",0,"1,1559853553772",0,,,"0,000154495239257813",,"34,7917249673121","33,1521186828613"
93,"847,6768","06-05-2018 13:23:59,192","787,5742",2,1,"1,49995994567871","3,65373420715332","0,328126698732376",0,"1,1712030172348",0,,,"0,000172615051269531",,"34,8729667663574","34,9145126342773"
94,"857,6823","06-05-2018 13:24:09,198","797,5797",2,1,"1,49997901916504","3,65494918823242","0,332297444343567",0,"1,18644428253174",0,,,"9,82284545898438E-05",,"34,8316230773926","34,8000335693359"
95,"867,6825","06-05-2018 13:24:19,198","807,5799",2,1,"1,49996948242188","3,65630626678467","0,33647021651268",0,"1,20169842243195",0,,,"0,000101089477539063",,"34,7767868041992","34,7380790710449"
96,"877,6855","06-05-2018 13:24:29,201","817,5829",2,1,"1,50000953674316","3,65768909454346","0,340630918741226",0,"1,21691417694092",0,,,"0,000153541564941406",,"34,8230204728606","33,1826362609863"
97,"887,6944","06-05-2018 13:24:39,210","827,5918",2,1,"1,50000762939453","3,65897941589355","0,344808667898178",0,"1,23219776153564",0,,,"0,000170707702636719",,"34,8738861083984","34,8652191162109"
98,"897,695","06-05-2018 13:24:49,211","837,5924",2,1,"1,49994850158691","3,66046810150147","0,348971337080002",0,"1,24743187427521",0,,,"0,000169754028320313",,"34,8605880737305","34,8661727905273"
99,"907,6974","06-05-2018 13:24:59,213","847,5948",2,1,"1,49995994567871","3,6619176864624","0,353132754564285",0,"1,26266765594482",0,,,"0,000158309936523438",,"34,8615112304688","34,9677772521973"
100,"917,6978","06-05-2018 13:25:09,213","857,5952",2,1,"1,49994850158691","3,66327571868897","0,357310503721237",0,"1,2779688835144",0,,,"0,000159263610839844",,"34,8664283752441","34,9334564208984"
101,"927,6982","06-05-2018 13:25:19,214","867,5956",2,1,"1,5","3,66474914550781","0,361468881368637",0,"1,29320526123047",0,,,"0,000182151794433594",,"34,8680801226433","34,780158996582"
