Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
48,"386,6813","07-12-2018 08:41:36,448","326,5871",2,1,"1,50013160705566","3,57083511352539","0,136022686958313",0,"0,47285196185112",0,,,"0,000218391418457031",,"34,3596608381175","34,5388374074247"
49,"396,6836","07-12-2018 08:41:46,450","336,5894",2,1,"1,49983406066895","3,57264804840088","0,140188440680504",0,"0,487731039524078",0,,,"0,000213623046875",,"34,3900756835938","34,5809288024902"
50,"406,6846","07-12-2018 08:41:56,451","346,5904",2,1,"1,50017166137695","3,5742883682251","0,14435401558876",0,"0,50261652469635",0,,,"0,000208854675292969",,"34,4421882629395","34,6038589477539"
51,"416,6868","07-12-2018 08:42:06,454","356,5926",2,1,"1,50015068054199","3,57570838928223","0,14851900935173",0,"0,517506241798401",0,,,"0,000161170959472656",,"34,4260406494141","34,5891304016113"
52,"426,6871","07-12-2018 08:42:16,454","366,5929",2,1,"1,50016212463379","3,57710456848145","0,152685225009918",0,"0,532406270503998",0,,,"0,000135421752929688",,"34,4933433532715","34,6239738464356"
53,"436,6912","07-12-2018 08:42:26,458","376,597",2,1,"1,50016212463379","3,57843780517578","0,156851768493652",0,"0,547313213348389",0,,,"0,0001068115234375",,"34,4933433532715","34,5973093790842"
54,"446,6928","07-12-2018 08:42:36,460","386,5986",2,1,"1,50018692016602","3,57976722717285","0,161018297076225",0,"0,562225580215454",0,,,"0,000148773193359375",,"34,5003509521484","34,5951881408691"
55,"456,6936","07-12-2018 08:42:46,461","396,5994",2,1,"1,49981307983398","3,58110046386719","0,165183618664742",0,"0,57713919878006",0,,,"0,000126838684082031",,"34,5155372619629","34,4939651489258"
56,"466,6961","07-12-2018 08:42:56,463","406,6019",2,1,"1,50016784667969","3,58240413665772","0,169349744915962",0,"0,592061161994934",0,,,"0,000133514404296875",,"34,5265464782715","34,5311241149902"
57,"476,6994","07-12-2018 08:43:06,466","416,6052",2,1,"1,49981880187988","3,58376407623291","0,173514530062675",0,"0,60698401927948",0,,,"0,00016021728515625",,"34,5489959716797","34,5061111450195"
58,"486,6994","07-12-2018 08:43:16,466","426,6052",2,1,"1,50015258789063","3,58511257171631","0,177680402994156",0,"0,6219162940979",0,,,"0,000135421752929688",,"34,5520324403384","34,4471702575684"
59,"496,7005","07-12-2018 08:43:26,467","436,6063",2,1,"1,50004577636719","3,58648872375488","0,18184632062912",0,"0,636854410171509",0,,,"0,000180244445800781",,"34,5459442443784","34,4803619384766"
60,"506,7028","07-12-2018 08:43:36,470","446,6086",2,1,"1,50016212463379","3,5878438949585","0,186012342572212",0,"0,65179854631424",0,,,"0,000119209289550781",,"34,5447769165039","34,4471702575684"
61,"516,7052","07-12-2018 08:43:46,472","456,611",2,1,"1,50019073486328","3,58923530578613","0,190177857875824",0,"0,666746497154236",0,,,"0,000140190124511719",,"34,6153214077615","34,5217697314792"
62,"526,7069","07-12-2018 08:43:56,474","466,6127",2,1,"1,4999828338623","3,59053993225098","0,194344118237495",0,"0,68170291185379",0,,,"0,000109672546386719",,"34,6263275146484","34,5750732421875"
63,"536,7088","07-12-2018 08:44:06,476","476,6146",2,1,"1,50006294250488","3,59194946289063","0,198510095477104",0,"0,696663916110992",0,,,"0,000195503234863281",,"34,6485212014451","34,5357975118233"
64,"546,7105","07-12-2018 08:44:16,477","486,6163",2,1,"1,5001220703125","3,59329509735107","0,202676072716713",0,"0,711630702018738",0,,,"0,000166893005371094",,"34,6384735107422","34,4946594238281"
65,"556,7109","07-12-2018 08:44:26,478","496,6167",2,1,"1,50019073486328","3,59470367431641","0,206841334700584",0,"0,726600587368012",0,,,"0,000127792358398438",,"34,6211585998535","34,5468139648438"
66,"566,7144","07-12-2018 08:44:36,481","506,6202",2,1,"1,49990272521973","3,59602355957031","0,211007669568062",0,"0,741580128669739",0,,,"0,000105857849121094",,"34,6777496337891","34,5308990478516"
67,"576,7149","07-12-2018 08:44:46,482","516,6207",2,1,"1,49980163574219","3,59739589691162","0,215173467993736",0,"0,756563305854797",0,,,"0,000163078308105469",,"34,7202754536693","34,5823282821201"
68,"586,7189","07-12-2018 08:44:56,486","526,6247",2,1,"1,49982643127441","3,59879970550537","0,219339817762375",0,"0,771554231643677",0,,,"0,000146865844726563",,"34,7050857543945","34,5360298156738"
69,"596,7234","07-12-2018 08:45:06,490","536,6292",2,1,"1,50020408630371","3,60013675689697","0,223506435751915",0,"0,786551833152771",0,,,"0,000168800354003906",,"34,6721805046857","34,5033111572266"
70,"606,7258","07-12-2018 08:45:16,493","546,6316",2,1,"1,49991035461426","3,60150241851807","0,227672830224037",0,"0,801554322242737",0,,,"0,0001373291015625",,"34,7029838771428","34,5266876220703"
71,"616,7276","07-12-2018 08:45:26,495","556,6334",2,1,"1,4999885559082","3,60288047790527","0,23183998465538",0,"0,816565155982971",0,,,"0,000161170959472656",,"34,7029838771428","34,5142974853516"
72,"626,7287","07-12-2018 08:45:36,496","566,6345",2,1,"1,50014686584473","3,60421943664551","0,23600660264492",0,"0,831579685211182",0,,,"0,000117301940917969",,"34,7455062866211","34,4955749511719"
73,"636,7313","07-12-2018 08:45:46,498","576,6371",2,1,"1,50017929077148","3,60556316375732","0,240175411105156",0,"0,846607863903046",0,,,"0,000105857849121094",,"34,7272758483887","34,5456428527832"
74,"646,7339","07-12-2018 08:45:56,501","586,6397",2,1,"1,50017356872559","3,60692119598389","0,244342789053917",0,"0,861636519432068",0,,,"0,000148773193359375",,"34,8139724731445","34,5096092224121"
75,"656,7374","07-12-2018 08:46:06,504","596,6432",2,1,"1,50017166137695","3,60828018188477","0,248510956764221",0,"0,876673698425293",0,,,"0,000120162963867188",,"34,7765655517578","34,5269279479981"
76,"666,7407","07-12-2018 08:46:16,508","606,6465",2,1,"1,50017166137695","3,60962772369385","0,252678960561752",0,"0,891715824604034",0,,,"0,00011444091796875",,"34,7555505946017","34,5650405883789"
77,"676,7442","07-12-2018 08:46:26,511","616,65",2,1,"1,50016975402832","3,61097812652588","0,256847053766251",0,"0,906763911247253",0,,,"0,000107765197753906",,"34,8170200118548","34,602481842041"
78,"686,7446","07-12-2018 08:46:36,512","626,6504",2,1,"1,5001277923584","3,61233806610107","0,261011898517609",0,"0,921805918216705",0,,,"0,000130653381347656",,"34,8394775390625","34,5344200134277"
79,"696,748","07-12-2018 08:46:46,515","636,6538",2,1,"1,50016975402832","3,61365985870361","0,265181303024292",0,"0,936869919300079",0,,,"0,000146865844726563",,"34,8160784199468","34,5180587768555"
80,"706,749","07-12-2018 08:46:56,516","646,6548",2,1,"1,5001392364502","3,61496734619141","0,269347339868546",0,"0,951927363872528",0,,,"0,000102043151855469",,"34,7908401489258","34,5767517089844"
81,"716,7509","07-12-2018 08:47:06,518","656,6567",2,1,"1,50014877319336","3,61632633209229","0,273514956235886",0,"0,966996133327484",0,,,"0,000108718872070313",,"34,8401298522949","34,5213165283203"
82,"726,7552","07-12-2018 08:47:16,522","666,661",2,1,"1,5001392364502","3,61769771575928","0,277683436870575",0,"0,982073664665222",0,,,"0,000123977661132813",,"34,8882331848145","34,6230545043945"
83,"736,758","07-12-2018 08:47:26,525","676,6638",2,1,"1,50014877319336","3,61904907226563","0,281851291656494",0,"0,997154414653778",0,,,"0,000135421752929688",,"34,8735429325059","34,5788764953613"
84,"746,7604","07-12-2018 08:47:36,527","686,6662",2,1,"1,50014495849609","3,62039661407471","0,286017537117004",0,"1,01223504543304",0,,,"0,000118255615234375",,"34,8955001104456","34,5744171142578"
85,"756,7615","07-12-2018 08:47:46,528","696,6673",2,1,"1,50020408630371","3,62172889709473","0,290183544158936",0,"1,02732038497925",0,,,"0,000125885009765625",,"34,9265480041504","34,5949974060059"
86,"766,7629","07-12-2018 08:47:56,530","706,6687",2,1,"1,50017356872559","3,62309837341309","0,294352799654007",0,"1,04242312908173",0,,,"0,000154495239257813",,"34,9165077209473","34,603889465332"
